Name,Years.in.Office,Party,District,People.Who.Voted,Margin.of.Victory,Population
Dave Reichert,10,R,WA.D8,188261,26.8,484022
Debbie Wasserman Schultz,10,D,FL.D23,164462,25.2,476558
Doris Matsui,10,D,CA.D6,110865,44.8,478446
Gwen Moore,10,D,WI.D4,254205,43.4,497538
Henry Cuellar,10,D,TX.D28,76091,68.8,401847
Jeffrey Fortenberry,10,R,NE.D1,177254,38,458363
Jim Costa,10,D,CA.D16,83657,-0.8,394977
Kenny Marchant,10,R,TX.D24,143605,32.8,480360
"Louis B. ""Louie"" Gohmert Jr",10,R,TX.D1,148334,55,501570
Michael McCaul,10,R,TX.D10,175807,28.1,501401
Mike Conaway,10,R,TX.D11,119359,80.6,519838
Patrick T. McHenry,10,R,NC.D10,217857,22,561525
Ted Poe,10,R,TX.D2,149766,38.4,474293
Tom Price,10,R,GA.D6,209756,32.2,470497
Virginia Foxx,10,R,NC.D5,227575,22,555933
Adrian Smith,8,R,NE.D3,185420,51,443546
Robert E. Latta,8,R,OH.D5,198918,37.8,557265
Dave Loebsack,8,D,IA.D2,271723,5,579033
Doug Lamborn,8,R,CO.D5,262122,19.6,554911
Ed Perlmutter,8,D,CO.D7,253646,9.8,543116
Gus M. Bilirakis,8,R,FL.D12,0,0,552114
Hank Johnson,8,D,GA.D4,0,0,482948
Jerry McNerney,8,D,CA.D9,89545,4.4,459066
Jim Jordan,8,R,OH.D4,183327,35.6,546078
Joe Courtney,8,D,CT.D2,226616,26.7,549219
John Sarbanes,8,D,MD.D3,205345,18.8,552154
John A. Yarmuth,8,D,KY.D3,247355,27.9,542729
Kathy Castor,8,D,FL.D14,0,0,523474
Keith Ellison,8,D,MN.D5,235657,46.9,506254
Kevin McCarthy,8,R,CA.D23,125142,50.8,484264
Niki Tsongas,8,D,MA.D3,219287,26,532207
Peter J. Roskam,8,R,IL.D6,228351,34.4,521685
Peter Welch,8,D,VT.D1,192421,33.3,493389
Rob Wittman,8,R,WV.D1,208743,28.5,549780
Steve Cohen,8,D,TN.D9,116471,51.7,499286
Tim Walz,8,D,MN.D1,225983,8.6,492629
Vern Buchanan,8,R,FL.D16,274347,23.2,523474
Yvette D. Clarke,8,D,NY.D9,87306,79,478971
Andre Carson,7,D,IN.D7,111366,12.9,517196
Jackie Speier,7,D,CA.D14,116815,52.4,489652
Steve Scalise,7,R,LA.D1,243033,67.3,583127
Ben Ray Lujan,6,D,NM.D3,180506,22.4,492778
Betty McCollum,6,D,MN.D4,241381,28.3,495791
Bill Posey,6,R,FL.D8,274129,31.8,558159
Blaine Luetkemeyer,6,R,MO.D3,191437,41.2,575405
Brett Guthrie,6,R,KY.D2,226834,38.4,550647
Chellie Pingree,6,D,ME.D1,308825,15.8,529670
Duncan Hunter,6,R,CA.D50,151134,42.8,486128
Erik Paulsen,6,R,MN.D3,269364,24.4,489909
Gerry Connolly,6,D,WV.D11,187486,16.5,490084
Glenn Thompson,6,R,PA.D5,178526,27.2,553022
Gregg Harper,6,R,MS.D3,167221,41.2,562039
Jared Polis,6,D,CO.D2,339512,13,585724
Jason Chaffetz,6,R,UT.D3,130717,49.7,473631
Jim Himes,6,D,CT.D4,198770,7.4,480566
John Garamendi,6,D,CA.D3,130797,4.4,488142
Judy Chu,6,D,CA.D27,115327,17.8,481567
Kurt Schrader,6,D,OR.D5,255543,14.5,566960
Leonard Lance,6,R,NJ.D7,174878,20.6,517184
Lynn Jenkins,6,R,KS.D2,221227,18.7,536322
Marcia L. Fudge,6,D,OH.D11,167165,58.4,524984
Mike Coffman,6,R,CO.D6,271575,9.1,508333
Mike Quigley,6,D,IL.D5,173924,32.3,518190
Paul Tonko,6,D,NY.D20,194484,22.4,559932
Pete Olson,6,R,TX.D22,151430,35,511801
Phil Roe,6,R,TN.D1,139160,75.7,558016
Thomas J. Rooney,6,R,FL.D17,223436,26.4,541369
Tom McClintock,6,R,CA.D4,173501,21,537291
Theodore E. Deutch,5,D,FL.D22,215523,16,516954
Tom Graves,5,R,GA.D14,0,0,491331
Tom Reed,5,R,NY.D23,168852,25.2,556166
Adam Kinzinger,4,R,IL.D16,214159,41.4,527271
Andy Harris,4,R,MD.D1,241036,41.4,554688
Austin Scott,4,R,GA.D8,0,0,517738
Bennie Thompson,4,D,MS.D2,143057,42.8,532386
Bill Flores,4,R,TX.D17,131778,32.2,513721
Bill Huizenga,4,R,MI.D2,213638,30.4,525203
Bill Johnson,4,R,OH.D6,188578,19.6,557994
Bill Keating,4,D,MA.D9,254770,10,567093
Billy Long,4,R,MO.D7,163877,34.7,577017
Blake Farenthold,4,R,TX.D27,130934,29.9,508771
Bob Gibbs,4,R,OH.D7,0,0,550947
Cedric Richmond,4,D,LA.D2,221426,51.6,575106
Charles J. Fleischmann,4,R,TN.D3,156012,27.8,553589
Daniel Webster,4,R,FL.D11,272104,33.4,591297
David N. Cicilline,4,D,RI.D1,145355,19.2,380306
David McKinley,4,R,WV.D1,143696,28,490472
David Schweikert,4,R,AZ.D6,199698,29.8,530111
Dennis A. Ross,4,R,FL.D15,213153,20.6,520104
Diane Black,4,R,TN.D6,162035,48.1,553267
Frederica S. Wilson,4,D,FL.D24,149765,76,454272
Jaime Herrera Beutler,4,R,WA.D3,199841,23,504467
Jeff Denham,4,R,CA.D10,111260,12.8,449860
Jeff Duncan,4,R,SC.D3,162577,42.8,506486
James B. Renacci,4,R,OH.D16,204621,27.6,557066
Justin Amash,4,R,MI.D3,217149,18.9,529561
Karen Bass,4,D,CA.D37,94990,67.8,455365
Kevin Yoder,4,R,KS.D3,220282,20.4,511830
Kristi L. Noem,4,R,SD.D1,276234,33,631691
Larry Bucshon,4,R,IN.D8,171123,24.5,553235
Lou Barletta,4,R,PA.D11,183450,32.6,547217
Mario Diaz-Balart,4,R,FL.D25,0,0,423264
Mark Amodei,4,R,NV.D2,186406,37.9,492978
Martha Roby,4,R,AL.D2,143862,32.2,511032
"Michael ""Mick"" Mulvaney",4,R,SC.D5,173136,17.8,513516
Mike Kelly,4,R,PA.D3,185646,21,547218
Mo Brooks,4,R,AL.D5,154042,49.6,531175
Morgan Griffith,4,R,WV.D9,156341,49.8,571777
Patrick Meehan,4,R,PA.D7,231048,24,534287
Paul Gosar,4,R,AZ.D4,173002,44.8,548649
Randy Hultgren,4,R,IL.D14,218583,31.2,510838
Raul R. Labrador,4,R,ID.D1,220910,30,601335
Rick Crawford,4,R,AR.D1,194066,30.8,546882
Rob Woodall,4,R,GA.D7,173000,31,450701
Scott DesJarlais,4,R,TN.D4,145357,23,546603
Scott Tipton,4,R,CO.D3,275180,22.4,534774
Sean Duffy,4,R,WI.D7,286007,19.7,551030
Steve Chabot,4,R,OH.D1,193365,27,530719
Steve Pearce,4,R,NM.D2,146583,29,472473
Steve Stivers,4,R,OH.D15,191171,26.2,567563
Steve Womack,4,R,AR.D3,190236,58.8,529636
Steven Palazzo,4,R,MS.D4,151867,45.7,565109
Terri Sewell,4,D,AL.D7,0,0,519993
Tim Walberg,4,R,MI.D7,222061,12.3,538521
Todd Rokita,4,R,IN.D4,141944,33.8,547144
Tom Marino,4,R,PA.D10,178379,37.7,546655
Trey Gowdy,4,R,SC.D4,147779,70.4,511904
Vicky Hartzler,4,R,MO.D4,176219,41.7,577140
Suzan DelBene,3,D,WA.D1,213482,10,486335
Suzanne Bonamici,3,D,OR.D1,234765,23,557541
Alan Lowenthal,2,D,CA.D47,113251,10.4,466357
Albio Sires,2,D,NJ.D8,78442,58.2,424380
Ami Bera,2,D,CA.D7,151736,-0.4,520287
Andy Barr,2,R,KY.D6,245833,20,558873
Ann Wagner,2,R,MO.D2,229339,31.5,567930
Annie Kuster,2,D,NH.D2,237063,10,511288
Beto O'Rourke,2,D,TX.D16,72988,38.3,436849
Bill Foster,2,D,IL.D11,165100,6.4,455061
Bill Pascrell,2,D,NJ.D9,115137,38.5,484124
Brad Wenstrup,2,R,OH.D2,197412,32.2,548991
Cheri Bustos,2,D,IL.D17,196233,10.4,523072
Chris Collins,2,R,NY.D27,174601,43.4,557484
Chris Stewart,2,R,UT.D2,127517,27.2,471705
Dan Kildee,2,D,MI.D5,210888,35.8,526174
David Joyce,2,R,OH.D14,210847,30.3,550470
David G. Valadao,2,R,CA.D21,70411,17,351100
Denny Heck,2,D,WA.D10,173956,9.2,516205
Derek Kilmer,2,D,WA.D6,221924,26,520371
Dina Titus,2,D,NV.D1,80254,18.9,406406
Donald Payne.Jr,2,D,NJ.D10,110256,72.6,483514
Doug Collins,2,R,GA.D9,180722,61.4,509719
Doug LaMalfa,2,R,CA.D1,178196,23.8,548753
Elizabeth Esty,2,D,CT.D5,207170,7,512060
Eric Swalwell,2,D,CA.D15,141067,39.6,466753
Filemon Vela,2,D,TX.D34,79636,21.2,406249
Renee Elmers,2,R,NC.D2,206162,17.8,540721
Grace Meng,2,D,NY.D6,0,0,450263
