Geography,Total Citizen Count,Total State Pop,Male: - 18+Native,Male: - 18 + Naturalized,Female: - 18 +Native,Female: - 18 + Naturalized
"D5, Illinois",518190,,211392,39824,223176,43798
"D6, Illinois",521685,,220115,31244,235467,34859
"D7, Illinois",519878,,221585,20645,255505,22143
"D8, Illinois",444133,,170934,44058,181520,47621
"D9, Illinois",501278,,187241,49731,202310,61996
"D10, Illinois",454047,,179800,42971,184735,46541
"D11, Illinois",455061,,189161,28163,207976,29761
"D12, Illinois",539589,,260649,2567,272479,3894
"D13, Illinois",547881,,258960,4942,277997,5982
"D14, Illinois",510838,,233529,18000,237932,21377
"D15, Illinois",541047,,265904,2164,270333,2646
"D16, Illinois",527271,,250396,8172,260846,7857
"D17, Illinois",523072,,246432,6801,262942,6897
"D18, Illinois",541109,,260030,5027,270723,5329
"D1, Indiana",529367,,242886,11284,262966,12231
"D2, Indiana",517329,,245231,5770,261550,4778
"D3, Indiana",529987,,252225,5873,265578,6311
"D4, Indiana",547144,,265360,5223,269642,6919
"D5, Indiana",539758,,249799,8205,272987,8767
"D6, Indiana",546625,,263274,2515,278232,2604
"D7, Indiana",517196,,233435,9077,265866,8818
"D8, Indiana",553235,,268746,3491,278052,2946
"D9, Indiana",557538,,265695,4391,282302,5150
"D1, Iowa",579070,,278744,4922,290613,4791
"D2, Iowa",579033,,277300,6341,288897,6495
"D3, Iowa",574946,,268776,8785,286663,10722
"D4, Iowa",562335,2295384,273355,3877,280866,4237
"D1, Kansas",510287,,248129,9316,243934,8908
"D2, Kansas",536322,,260274,3036,268917,4095
"D3, Kansas",511830,,232918,11950,253611,13351
"D4, Kansas",509234,,238824,10858,249965,9587
"D1, Kentucky",548695,,266645,1886,278573,1591
"D2, Kentucky",550647,,262613,3712,279421,4901
"D3, Kentucky",542729,,244835,10165,278474,9255
"D4, Kentucky",551671,,266947,3499,277157,4068
"D5, Kentucky",554986,,272071,946,280673,1296
"D6, Kentucky",558873,,261430,5435,286171,5837
"D1, Louisiana",583127,,263166,12451,294084,13426
"D2, Louisiana",575106,,262910,8682,295158,8356
"D3, Louisiana",567383,,267392,3889,291312,4790
"D4, Louisiana",559367,,267439,3282,285233,3413
"D5, Louisiana",562494,,275264,2314,282448,2468
"D6, Louisiana",581779,3429256,271752,6358,298587,5082
"D1, Maine",529670,,246518,7682,266249,9221
"D2, Maine",522472,,251036,3547,263026,4863
"D1, Maryland",554688,,258326,8670,276798,10894
"D2, Maryland",533530,,229900,20263,260403,22964
"D3, Maryland",552154,,226765,29771,259696,35922
"D4, Maryland",487512,,196328,25264,239824,26096
"D5, Maryland",541282,,244130,19406,254886,22860
"D6, Maryland",509724,,217186,35103,215187,42248
"D7, Maryland",540296,,234784,17915,269737,17860
"D8, Maryland",493666,,197043,35865,213217,47541
"D1, Massachusetts",558877,,249245,14336,279597,15699
"D2, Massachusetts",548488,,242615,20704,262660,22509
"D3, Massachusetts",532207,,226853,32005,239776,33573
"D4, Massachusetts",546048,,234692,26163,256070,29123
"D5, Massachusetts",512417,,207835,35292,231187,38103
"D6, Massachusetts",557823,,241086,22936,267259,26542
"D7, Massachusetts",515582,,195160,47496,213200,59726
"D8, Massachusetts",554242,,229870,32575,256652,35145
"D9, Massachusetts",567093,4892777,248596,18172,278391,21934
"D1, Michigan",563467,,283447,2514,273749,3757
"D2, Michigan",525203,,247585,5885,263504,8229
"D3, Michigan",529561,,252200,7688,263240,6433
"D4, Michigan",547776,,269357,1869,273401,3149
"D5, Michigan",526174,,245291,3955,271789,5139
"D6, Michigan",532716,,252645,5429,268764,5878
"D7, Michigan",538521,,265867,3227,265181,4246
"D8, Michigan",534983,,249625,10108,263962,11288
"D9, Michigan",542949,,240725,20639,260060,21525
"D10, Michigan",537220,,251370,12550,258890,14410
"D11, Michigan",520799,,227705,24032,243882,25180
"D12, Michigan",515248,,225949,20914,245913,22472
"D13, Michigan",495938,,222087,9492,252329,12030
"D14, Michigan",502926,7413481,208014,19775,255040,20097
"D1, Minnesota",492629,,235570,6419,242596,8044
"D2, Minnesota",492428,,225844,12717,238170,15697
"D3, Minnesota",489909,,215279,19021,233976,21633
"D4, Minnesota",495791,,217180,20400,233986,24225
"D5, Minnesota",506254,,227211,20601,235972,22470
"D6, Minnesota",495406,,243123,6893,236906,8484
"D7, Minnesota",497748,,245086,2182,246280,4200
"D8, Minnesota",517090,,258272,2474,253222,3122
"D1, Mississippi",563663,,263648,1824,295429,2762
"D2, Mississippi",532386,,247256,1695,281208,2227
"D3, Mississippi",562039,,265648,2213,291751,2427
"D4, Mississippi",565109,,271190,3506,284475,5938
"D1, Missouri",559036,,251148,6778,293106,8004
"D2, Missouri",567930,,253899,13447,284842,15742
"D3, Missouri",575405,,281782,2748,286714,4161
"D4, Missouri",577140,,283251,2762,286856,4271
"D5, Missouri",558001,,256541,7426,286393,7641
"D6, Missouri",572224,,276365,5698,285621,4540
"D7, Missouri",577017,,274936,2729,294438,4914
"D8, Missouri",572287,,281896,1115,287183,2093
"D1, Montana",787794,,388909,4572,387966,6347
"D1, Nebraska",458363,,220181,6560,223876,7746
"D2, Nebraska",440511,,205636,8031,218807,8037
"D3, Nebraska",443546,1342420,211616,6386,220859,4685
"D1, Nevada",406406,,178543,32433,154808,40622
"D2, Nevada",492978,,233606,15437,225129,18806
"D3, Nevada",519444,,219107,37062,214895,48380
"D4, Nevada",476565,,210507,19803,214633,31622
"D1, New Hampshire",515961,,244199,7870,251670,12222
"D2, New Hampshire",511288,,241946,9824,248811,10707
"D1, New Jersey",537434,,236127,17029,266080,18198
"D2, New Jersey",531299,,241232,16817,255482,17768
"D3, New Jersey",558360,,250824,18148,266915,22473
"D4, New Jersey",530881,,227609,19838,258196,25238
"D5, New Jersey",531766,,212114,45959,219798,53895
"D6, New Jersey",485771,,188734,49314,195938,51785
"D7, New Jersey",517184,,210961,37013,228655,40555
"D8, New Jersey",424380,,140203,68473,140465,75239
"D9, New Jersey",484124,,153515,76775,170122,83712
"D10, New Jersey",483514,,173146,49810,199992,60566
"D11, New Jersey",537183,,214139,40787,234549,47708
"D12, New Jersey",482862,6104758,183529,46109,200257,52967
"D1, New Mexico",501503,,229973,12238,243360,15932
"D2, New Mexico",472473,,225952,10773,219081,16667
"D3, New Mexico",492778,,232110,7770,244135,8763
"D1, New York",528214,,233662,20183,249088,25281
"D2, New York",505740,,215467,28530,228744,32999
"D3, New York",509977,,196447,50155,206937,56438
"D4, New York",495568,,189143,41041,214638,50746
"D5, New York",481735,,132439,88680,148740,111876
"D6, New York",450263,,114329,97241,118811,119882
"D7, New York",436326,,152781,53734,160119,69692
