Name,Years.in.Office,Party,District,People.Who.Voted,Margin.of.Victory
Virginia Foxx,12,R,NC.D5,350540,17
Adrian Smith,10,R,NE.D3,0,0
Robert E. Latta,10,R,OH.D5,338081,42
Dave Loebsack,10,D,IA.D2,368331,7.4
Doug Lamborn,10,R,CO.D5,356062,31.6
Ed Perlmutter,10,D,CO.D7,335283,15.2
Gus M. Bilirakis,10,R,FL.D12,369256,37.2
Hank Johnson,10,D,GA.D4,283353,51.2
Jerry McNerney,10,D,CA.D9,184377,15.2
Jim Jordan,10,R,OH.D4,302003,36.2
Joe Courtney,10,D,CT.D2,329519,29.1
John Sarbanes,10,D,MD.D3,309419,28.3
John A. Yarmuth,10,D,KY.D3,334473,27
Kathy Castor,10,D,FL.D14,315435,23.6
Keith Ellison,10,D,MN.D5,361376,46.9
Kevin McCarthy,10,R,CA.D23,216188,40
Niki Tsongas,10,D,MA.D3,341243,37.4
Peter J. Roskam,10,R,IL.D6,345769,19
Peter Welch,10,D,VT.D1,292726,80
Rob Wittman,10,R,WV.D1,364296,25.1
Steve Cohen,10,D,TN.D9,215656,60
Tim Walz,10,D,MN.D1,335603,0.8
Vern Buchanan,10,R,FL.D16,385041,19.6
Yvette D. Clarke,10,D,NY.D9,216883,84.6
Andre Carson,9,D,IN.D7,264472,24.3
Jackie Speier,9,D,CA.D14,314582,61.8
Steve Scalise,9,R,LA.D1,326660,61.8
Ben Ray Lujan,8,D,NM.D3,268377,25
Betty McCollum,8,D,MN.D4,350538,23.3
Bill Posey,8,R,FL.D8,390143,30.6
Blaine Luetkemeyer,8,R,MO.D3,366856,39.9
Brett Guthrie,8,R,KY.D2,0,0
Chellie Pingree,8,D,ME.D1,389476,15.8
Duncan Hunter,8,R,CA.D50,233022,27.8
Erik Paulsen,8,R,MN.D3,392313,13.8
Gerry Connolly,8,D,WV.D11,0,0
Glenn Thompson,8,R,PA.D5,298313,3.6
Gregg Harper,8,R,MS.D3,303726,36
Jared Polis,8,D,CO.D2,443866,19.4
Jason Chaffetz,8,R,UT.D3,254847,46.6
Jim Himes,8,D,CT.D4,309558,20.2
John Garamendi,8,D,CA.D3,219167,16.4
Judy Chu,8,D,CA.D27,201187,19.8
Kurt Schrader,8,D,OR.D5,332377,10.4
Leonard Lance,8,R,NJ.D7,340119,11.2
Lynn Jenkins,8,R,KS.D2,291112,28.6
Marcia L. Fudge,8,D,OH.D11,291351,60.2
Mike Coffman,8,R,CO.D6,352284,8.9
Mike Quigley,8,D,IL.D5,298781,39.8
Paul Tonko,8,D,NY.D20,288412,35.2
Pete Olson,8,R,TX.D22,305125,19
Phil Roe,8,R,TN.D1,250681,63
Thomas J. Rooney,8,R,FL.D17,338272,27.6
Tom McClintock,8,R,CA.D4,313154,25.6
Theodore E. Deutch,7,D,FL.D22,335087,17.8
Tom Graves,7,R,GA.D14,0,0
Tom Reed,7,R,NY.D23,257601,16.2
Adam Kinzinger,6,R,IL.D16,0,0
Andy Harris,6,R,MD.D1,338118,39.8
Austin Scott,6,R,GA.D8,253432,35.4
Bennie Thompson,6,D,MS.D2,271126,37.4
Bill Flores,6,R,TX.D17,245194,21.7
Bill Huizenga,6,R,MI.D2,339598,30.3
Bill Johnson,6,R,OH.D6,296115,41.2
Bill Keating,6,D,MA.D9,376723,21.9
Billy Long,6,R,MO.D7,337467,40.2
Blake Farenthold,6,R,TX.D27,229653,23.4
Bob Gibbs,6,R,OH.D7,302810,35.2
Cedric Richmond,6,D,LA.D2,284078,49.7
Charles J. Fleischmann,6,R,TN.D3,265753,37.6
Daniel Webster,6,R,FL.D11,394441,33.8
David N. Cicilline,6,D,RI.D1,199880,29.4
David McKinley,6,R,WV.D1,235364,38
David Schweikert,6,R,AZ.D6,257986,23.2
Dennis A. Ross,6,R,FL.D15,317443,15
Diane Black,6,R,TN.D6,284219,49.3
Frederica S. Wilson,6,D,FL.D24,0,0
Jaime Herrera Beutler,6,R,WA.D3,298652,22.8
Jeff Denham,6,R,CA.D10,211305,15.2
Jeff Duncan,6,R,SC.D3,269786,45.8
James B. Renacci,6,R,OH.D16,338791,30.8
Justin Amash,6,R,MI.D3,341602,21.9
Karen Bass,6,D,CA.D37,183617,64
Kevin Yoder,6,R,KS.D3,334322,10.7
Kristi L. Noem,6,R,SD.D1,369933,18.2
Larry Bucshon,6,R,IN.D8,294329,32.1
Lou Barletta,6,R,PA.D11,305914,27.4
Mario Diaz-Balart,6,R,FL.D25,252756,24.8
Mark Amodei,6,R,NV.D2,312711,21.4
Martha Roby,6,R,AL.D2,246090,9.2
"Michael ""Mick"" Mulvaney",6,R,SC.D5,296265,20.3
Mike Kelly,6,R,PA.D3,0,0
Mo Brooks,6,R,AL.D5,306368,33.6
Morgan Griffith,6,R,WV.D9,309586,40.3
Patrick Meehan,6,R,PA.D7,367122,19.4
Paul Gosar,6,R,AZ.D4,240361,43
Randy Hultgren,6,R,IL.D14,332324,19.2
Raul R. Labrador,6,R,ID.D1,347432,36
Rick Crawford,6,R,AR.D1,239268,53
Rob Woodall,6,R,GA.D7,287231,21
Scott DesJarlais,6,R,TN.D4,254612,30
Scott Tipton,6,R,CO.D3,351707,14
Sean Duffy,6,R,WI.D7,360744,23.6
Steve Chabot,6,R,OH.D1,344562,19.2
Steve Pearce,6,R,NM.D2,227013,25.6
Steve Stivers,6,R,OH.D15,326458,32.4
Steve Womack,6,R,AR.D3,277061,54.6
Steven Palazzo,6,R,MS.D4,268234,37.5
Terri Sewell,6,D,AL.D7,0,0
Tim Walberg,6,R,MI.D7,333648,14.9
Todd Rokita,6,R,IN.D4,299183,34.1
Tom Marino,6,R,PA.D10,296062,40.6
Trey Gowdy,6,R,SC.D4,293386,36.1
Vicky Hartzler,6,R,MO.D4,331774,40
Suzan DelBene,5,D,WA.D1,323733,11
Suzanne Bonamici,5,D,OR.D1,347579,22.3
Alan Lowenthal,4,D,CA.D47,204502,25
Albio Sires,4,D,NJ.D8,161682,58.3
Ami Bera,4,D,CA.D7,252120,2.4
Andy Barr,4,R,KY.D6,330819,22.2
Ann Wagner,4,R,MO.D2,407617,21
Annie Kuster,4,D,NH.D2,350189,4.4
Beto O'Rourke,4,D,TX.D16,172584,71.6
Bill Foster,4,D,IL.D11,263421,5
Bill Pascrell,4,D,NJ.D9,218108,41.5
Brad Wenstrup,4,R,OH.D2,323124,33.2
Cheri Bustos,4,D,IL.D17,283887,20.2
Chris Collins,4,R,NY.D27,306732,35.4
Chris Stewart,4,R,UT.D2,243693,27.4
Dan Kildee,4,D,MI.D5,318877,26.1
David Joyce,4,R,OH.D14,342165,25.4
David G. Valadao,4,R,CA.D21,118124,16
Denny Heck,4,D,WA.D10,271372,17.4
Derek Kilmer,4,D,WA.D6,306556,23.4
Dina Titus,4,D,NV.D1,187626,33
Donald Payne.Jr,4,D,NJ.D10,212127,73.6
Doug Collins,4,R,GA.D9,0,0
Doug LaMalfa,4,R,CA.D1,277090,19
Elizabeth Esty,4,D,CT.D5,301630,15.8
Eric Swalwell,4,D,CA.D15,255138,47.6
Filemon Vela,4,D,TX.D34,166753,25.4
George E.B. Holding,4,R,NC.D2,386641,13.4
Grace Meng,4,D,NY.D6,175275,44.9
Gregory W. Meeks,4,D,NY.D5,215478,72.5
Hakeem Jeffries,4,D,NY.D8,214215,86.4
